מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B01,1,WC407,, 7.00 , -   ,,,הזרקה,,,
100,B01,1,WCINJ001,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ002,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ003,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ004,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ005,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ006,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ007,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ008,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ009,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ010,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ011,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ012,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ013,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ014,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ015,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ016,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ017,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ018,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ019,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ020,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ021,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ022,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ023,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ024,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ025,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ026,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ027,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ028,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ029,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ030,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ031,, 22.93 , -   ,,,הזרקה,,,
100,B01,1,WCINJ032,, 22.93 , -   ,,,הזרקה,,,
